cod_ibge,municipio,uf,populacao_censo_2022,volume
4109401,Guarapuava,PR,182093,I
3515707,Ferraz de Vasconcelos,SP,179198,I
2913606,Ilhéus,BA,178649,I
3507605,Bragança Paulista,SP,176811,I
2112209,Timon,MA,174465,I
1702109,Araguaína,TO,171301,I
3129806,Ibirité,MG,170537,I
3300407,Barra Mansa,RJ,169894,I
2925303,Porto Seguro,BA,168326,I
3523909,Itu,SP,168240,I
3300100,Angra dos Reis,RJ,167434,I
3302858,Mesquita,RJ,167127,I
3203205,Linhares,ES,166786,I
3548807,São Caetano do Sul,SP,165655,I
3538006,Pindamonhangaba,SP,165428,I
3516309,Francisco Morato,SP,165139,I
3305802,Teresópolis,RJ,165123,I
4209300,Lages,SC,164981,I
3151800,Poços de Caldas,MG,163742,I
2207702,Parnaíba,PI,162159,I
2903201,Barreiras,BA,159734,I
3148004,Patos de Minas,MG,159235,I
2918001,Jequié,BA,158813,I
3504107,Atibaia,SP,158647,I
3522208,Itapecerica da Serra,SP,158522,I
1500107,Abaetetuba,PA,158188,I
3522307,Itapetininga,SP,157790,I
2103000,Caxias,MA,156973,I
3304524,Rio das Ostras,RJ,156491,I
5220454,Senador Canedo,GO,155635,I
3547304,Santana de Parnaíba,SP,154105,I
3530706,Mogi Guaçu,SP,153658,I
3152501,Pouso Alegre,MG,152217,I
4101804,Araucária,PR,151666,I
2900702,Alagoinhas,BA,151055,I
4127700,Toledo,PR,150470,I
2513703,Santa Rita,PB,149910,I
4107652,Fazenda Rio Grande,PR,148873,I
2603454,Camaragibe,PE,147771,I
3303203,Nilópolis,RJ,146774,I
4118204,Paranaguá,PR,145829,I
2107506,Paço do Lumiar,MA,145643,I
2931350,Teixeira de Freitas,BA,145216,I
3507506,Botucatu,SP,145155,I
3516408,Franco da Rocha,SP,144849,I
2606002,Garanhuns,PE,142506,I
5221403,Trindade,GO,142431,I
4202909,Brusque,SC,141385,I
3304144,Queimados,RJ,140523,I
4202008,Balneário Camboriú,SC,139155,I
3168606,Teófilo Otoni,MG,137418,I
3170701,Varginha,MG,136467,I
4104204,Campo Largo,PR,136327,I
4303103,Cachoeirinha,RS,136258,I
3510500,Caraguatatuba,SP,134873,I
3545209,Salto,SP,134319,I
1502103,Cametá,PA,134184,I
2616407,Vitória de Santo Antão,PE,134084,I
3525300,Jaú,SP,133497,I
4316808,Santa Cruz do Sul,RS,133230,I
5008305,Três Lagoas,MS,132152,I
4320008,Sapucaia do Sul,RS,132107,I
3118304,Conselheiro Lafaiete,MG,131621,I
2306405,Itapipoca,CE,131123,I
2304202,Crato,CE,131050,I
3503307,Araras,SP,130866,I
4101408,Apucarana,PR,130134,I
3300209,Araruama,RJ,129671,I
3304201,Resende,RJ,129612,I
3156700,Sabará,MG,129380,I
3171204,Vespasiano,MG,129246,I
3557006,Votorantim,SP,127923,I
4119152,Pinhais,PR,127019,I
3551702,Sertãozinho,SP,126887,I
1501303,Barcarena,PA,126650,I
3556206,Valinhos,SP,126373,I
1500602,Altamira,PA,126279,I
3105608,Barbacena,MG,125317,I
3202405,Guarapari,ES,124656,I
1100122,Ji-Paraná,RO,124333,I
3554003,Tatuí,SP,123942,I
3204906,São Mateus,ES,123752,I
1503606,Itaituba,PA,123314,I
4302105,Bento Gonçalves,RS,123151,I
1501709,Bragança,PA,123082,I
3505500,Barretos,SP,122485,I
3523404,Itatiba,SP,121590,I
3201506,Colatina,ES,120033,I
4100400,Almirante Tamandaré,PR,119825,I
4101507,Arapongas,PR,119138,I
3506508,Birigui,SP,118979,I
4119509,Piraquara,PR,118730,I
4126256,Sarandi,PR,118455,I
3525003,Jandira,SP,118045,I
3518404,Guaratinguetá,SP,118044,I
4301602,Bagé,RS,117938,I
3103504,Araguari,MG,117808,I
4322400,Uruguaiana,RS,117210,I
4128104,Umuarama,PR,117095,I
3302007,Itaguaí,RJ,116841,I
5208004,Formosa,GO,115901,I
2412005,São Gonçalo do Amarante,RN,115838,I
3511102,Catanduva,SP,115791,I
3556503,Várzea Paulista,SP,115771,I
3543303,Ribeirão Pires,SP,115559,I
2606804,Igarassu,PE,115196,I
2930709,Simões Filho,BA,114559,I
5205109,Catalão,GO,114427,I
2103307,Codó,MA,114275,I
2910727,Eunápolis,BA,113710,I
3131703,Itabira,MG,113343,I
2924009,Paulo Afonso,BA,112870,I
3513504,Cubatão,SP,112476,I
3522109,Itanhaém,SP,112476,I
3147907,Passos,MG,111939,I
1504422,Marituba,PA,111785,I
3144805,Nova Lima,MG,111697,I
3104007,Araxá,MG,111691,I
2613701,São Lourenço da Mata,PE,111249,I
5107925,Sorriso,MT,110635,I
3536505,Paulínia,SP,110537,I
4218707,Tubarão,SC,110088,I
5211503,Itumbiara,GO,107970,I
2919553,Luís Eduardo Magalhães,BA,107909,I
1600600,Santana,AP,107618,I
4103701,Cambé,PR,107208,I
1501808,Breves,PA,106968,I
2100055,Açailândia,MA,106550,I
5107958,Tangará da Serra,MT,106434,I
5211909,Jataí,GO,105729,I
4307005,Erechim,RS,105705,I
3145208,Nova Serrana,MG,105552,I
1505502,Paragominas,PA,105550,I
2307700,Maranguape,CE,105093,I
5217609,Planaltina,GO,105031,I
3138203,Lavras,MG,104761,I
3119401,Coronel Fabriciano,MG,104736,I
3143906,Muriaé,MG,104108,I
3305208,São Pedro da Aldeia,RJ,104029,I
3534708,Ourinhos,SP,103970,I
5215231,Novo Gama,GO,103804,I
3539806,Poá,SP,103765,I
2101202,Bacabal,MA,103711,I
1301902,Itacoatiara,AM,103598,I
2802908,Itabaiana,SE,103440,I
3169901,Ubá,MG,103365,I
2510808,Patos,PB,103165,I
4203204,Camboriú,SC,103074,I
2928703,Santo Antônio de Jesus,BA,103055,I
3134202,Ituiutaba,MG,102217,I
1302504,Manacapuru,AM,101883,I
2101400,Balsas,MA,101767,I
2803500,Lagarto,SE,101579,I
3504008,Assis,SP,101409,I
3302205,Itaperuna,RJ,101041,I
4104303,Campo Mourão,PR,99432,I
2607208,Ipojuca,PE,98932,I
5204508,Caldas Novas,GO,98622,I
2600054,Abreu e Lima,PE,98462,I
2612505,Santa Cruz do Capibaribe,PE,98254,I
3526704,Leme,SP,98161,I
2305506,Iguatu,CE,98064,I
3133808,Itaúna,MG,97669,I
3147105,Pará de Minas,MG,97139,I
1100023,Ariquemes,RO,96833,I
4108403,Francisco Beltrão,PR,96666,I
3557105,Votuporanga,SP,96634,I
1303403,Parintins,AM,96372,I
3302270,Japeri,RJ,96289,I
5003207,Corumbá,MS,96268,I
3508504,Caçapava,SP,96202,I
1100304,Vilhena,RO,95832,I
2806701,São Cristóvão,SE,95612,I
3509007,Caieiras,SP,95032,I
3200607,Aracruz,ES,94765,I
3147006,Paracatu,MG,94023,I
2707701,Rio Largo,AL,93927,I
3528502,Mairiporã,SP,93853,I
4311403,Lajeado,RS,93646,I
3132404,Itajubá,MG,93073,I
3555406,Ubatuba,SP,92981,I
4309308,Guaíba,RS,92924,I
3300308,Barra do Piraí,RJ,92883,I
3504503,Avaré,SP,92805,I
3509205,Cajamar,SP,92689,I
3530805,Mogi Mirim,SP,92558,I
3305000,São João da Barra,RJ,92547,I
2613909,Serra Talhada,PE,92228,I
5006606,Ponta Porã,MS,92017,I
4118402,Paranavaí,PR,92001,I
1200203,Cruzeiro do Sul,AC,91888,I
3139409,Manhuaçu,MG,91886,I
4118501,Pato Branco,PR,91836,I
5205497,Cidade Ocidental,GO,91767,I
1508100,Tucuruí,PA,91306,I
3162500,São João del Rei,MG,90225,I
3148103,Patrocínio,MG,89826,I
3522406,Itapeva,SP,89728,I
5102504,Cáceres,MT,89681,I
3305505,Saquarema,RJ,89559,I
2911709,Guanambi,BA,87817,I
3113404,Caratinga,MG,87360,I
1100049,Cacoal,RO,86887,I
3503901,Arujá,SP,86678,I
3170404,Unaí,MG,86619,I
2606408,Gravatá,PE,86516,I
4211306,Navegantes,SC,86401,I
2932903,Valença,BA,85655,I
3124104,Esmeraldas,MG,85598,I
1506138,Redenção,PA,85597,I
5107040,Primavera do Leste,MT,85146,I
1709500,Gurupi,TO,85125,I
2601102,Araripina,PE,85088,I
2109908,Santa Inês,MA,85014,I
3527207,Lorena,SP,84855,I
4310207,Ijuí,RS,84780,I
2108603,Pinheiro,MA,84621,I
2101608,Barra do Corda,MA,84532,I
4317103,Santana do Livramento,RS,84421,I
2311306,Quixadá,CE,84168,I
1504703,Moju,PA,84094,I
5105259,Lucas do Rio Verde,MT,83798,I
4215802,São Bento do Sul,SC,83277,I
2208007,Picos,PI,83090,I
2501807,Bayeux,PB,82742,I
2917508,Jacobina,BA,82590,I
2407104,Macaíba,RN,82249,I
2311405,Quixeramobim,CE,82177,I
4204301,Concórdia,SC,81646,I
3550704,São Sebastião,SP,81595,I
3168705,Timóteo,MG,81579,I
2309706,Pacatuba,CE,81524,I
2313401,Tianguá,CE,81506,I
2103208,Chapadinha,MA,81386,I
3127388,Goianá,MG,81055,I
3120904,Curvelo,MG,80665,I
2301000,Aquiraz,CE,80645,I
3305554,Seropédica,RJ,80596,I
2930501,Serrinha,BA,80435,I
3136207,João Monlevade,MG,80187,I
4303004,Cachoeira do Sul,RS,80070,I
4105508,Cianorte,PR,79527,I
2601706,Belo Jardim,PE,79507,I
3550605,São Roque,SP,79484,I
2604007,Carpina,PE,79293,I
2402600,Ceará-Mirim,RN,79115,I
3529302,Matão,SP,79033,I
3101607,Alfenas,MG,78970,I
3306008,Três Rios,RJ,78346,I
2601201,Arcoverde,PE,77742,I
3509601,Campo Limpo Paulista,SP,77632,I
1502152,Canaã dos Carajás,PA,77079,I
4317202,Santa Rosa,RS,76963,I
4317509,Santo Ângelo,RS,76917,I
4202305,Biguaçu,SC,76773,I
3556701,Vinhedo,SP,76540,I
3171303,Viçosa,MG,76430,I
2304103,Crateús,CE,76390,I
3506102,Bebedouro,SP,76373,I
4307708,Esteio,RS,76137,I
4208302,Itapema,SC,75940,I
4319901,Sapiranga,RS,75648,I
3519709,Ibiúna,SP,75605,I
3169307,Três Corações,MG,75485,I
3137601,Lagoa Santa,MG,75145,I
2301109,Aracati,CE,75113,I
4127106,Telêmaco Borba,PR,75042,I
2301901,Barbalha,CE,75033,I
3513405,Cruzeiro,SP,74961,I
3146107,Ouro Preto,MG,74821,I
3527108,Lins,SP,74779,I
2305233,Horizonte,CE,74755,I
2930105,Senhor do Bonfim,BA,74523,I
2914604,Irecê,BA,74507,I
2302800,Canindé,CE,74174,I
2304285,Eusébio,CE,74170,I
2104800,Grajaú,MA,73872,I
4203006,Caçador,SC,73720,I
5208608,Goianésia,GO,73707,I
1304203,Tefé,AM,73669,I
3539301,Pirassununga,SP,73545,I
